Timestamp, Path Type, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-16 00:48:34, pca, multiclass_split_loss_embedding_relu, 0.5, 10, 39.1, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 00:51:05, pca, multiclass_split_loss_embedding_relu, 0.5, 50, 59.32, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 00:55:29, pca, multiclass_split_loss_embedding_relu, 0.5, 200, 83.56, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 00:56:49, pca, multiclass_split_loss_embedding_softplus, 0.3, 10, 29.06, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-16 00:59:28, pca, multiclass_split_loss_embedding_softplus, 0.3, 50, 65.32, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-16 01:03:55, pca, multiclass_split_loss_embedding_softplus, 0.3, 200, 84.56, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-16 01:05:06, pca, multiclass_split_loss_embedding_softplus, 0.5, 10, 33.52, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-16 01:07:50, pca, multiclass_split_loss_embedding_softplus, 0.5, 50, 67.0, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-16 01:12:11, pca, multiclass_split_loss_embedding_softplus, 0.5, 200, 83.8, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-16 01:13:25, pca, multiclass_split_loss_embedding_sign, 0.3, 10, 31.36, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.3
